DIST_BIN_SIZE	0.3
-35242220	200	4	REG	0.284541	0.750986	1.27008	0.944252	1.6183	1.25603	-0.230299	0.431321	2.37758	0.712247	-1.22792	-0.0642299	
-35242211	101	4	REG	0.100135	0.868366	1.23424	0.29944	1.98975	1.13133	-0.0620646	0.34989	2.39601	1.0527	-0.95487	-0.00474512	
-35242210	100	7	REG	0.360769	0.720598	1.28625	1.23264	1.53922	1.29994	-0.302455	0.422252	2.37897	0.712297	-1.28867	-0.0836396	
-35242204	4	18	REG	0.471493	0.5891	1.33072	1.57632	1.07863	1.4211	-0.350223	0.556172	2.35733	0.411423	-1.46154	-0.107134	
-35242202	2	5	REG	0.47493	0.5922	1.32369	1.59471	0.971605	1.42814	-0.354728	0.658898	2.33124	0.349118	-1.46036	-0.0927257	
-35242201	1	19	REG	0.348506	0.734383	1.26794	1.14884	1.51196	1.25134	-0.239174	0.488544	2.36515	0.547798	-1.35261	0.0169475	
-35242200	0	74	REG	0.421217	0.668677	1.29329	1.39163	1.35899	1.32058	-0.300165	0.471385	2.3643	0.517206	-1.40785	-0.054213	
-35232444	404	44	REG	0.435389	0.840707	1.18477	1.42321	1.53661	1.11542	-0.312574	0.764446	2.26757	0.175957	-1.44859	0.311418	
-35232443	403	17	REG	0.375768	0.892377	1.16785	1.26112	1.69813	1.06825	-0.312882	0.747954	2.2744	0.369928	-1.4124	0.310499	
-35232442	402	21	REG	0.443326	0.802812	1.19829	1.42802	1.45062	1.15157	-0.297011	0.744442	2.26966	0.136141	-1.43807	0.270133	
-35232441	401	125	REG	0.412114	0.854301	1.17626	1.34197	1.61161	1.09213	-0.296876	0.725889	2.27253	0.193771	-1.41739	0.327741	
-35232440	400	418	REG	0.430682	0.830618	1.18876	1.40671	1.53535	1.13217	-0.313269	0.735799	2.2674	0.165337	-1.44218	0.309724	
-35232434	304	12	REG	0.439429	0.826669	1.19006	1.41755	1.55245	1.12571	-0.297648	0.700121	2.2813	0.278435	-1.44595	0.264685	
-35232433	303	4	REG	0.355903	0.850444	1.19569	1.22919	1.62817	1.13582	-0.290417	0.694951	2.2973	0.349053	-1.39052	0.274775	
-35232432	302	8	REG	0.384415	0.818767	1.1908	1.24031	1.52252	1.13125	-0.249413	0.711042	2.28153	0.178436	-1.40235	0.327744	
