0-0-1-1-5-1-3-8	1	
0-0-1-1-5-1-7-4	1	
0-0-1-1-6-0-1-9	1	
0-0-1-1-6-1-0-0	1	
0-0-1-1-6-1-1-6	1	
0-0-1-1-6-1-1-8	1	
0-0-1-1-6-1-1-9	1	
0-0-1-1-6-1-2-4	2	
0-0-1-1-6-1-2-6	1	
0-0-1-1-6-1-2-8	1	
0-0-1-1-6-1-3-2	1	
0-0-1-1-6-1-3-3	1	
0-0-1-1-6-1-3-4	3	
0-0-1-1-6-1-6-9	1	
0-0-1-1-6-1-7-5	1	
0-0-1-1-6-1-8-4	1	
0-0-1-1-7-1-0-9	3	
0-0-1-1-7-1-1-5	1	
0-0-1-1-7-1-1-9	1	
0-0-1-1-7-1-2-4	3	
0-0-1-1-7-1-2-6	1	
0-0-1-1-7-1-2-8	4	
0-0-1-1-7-1-2-9	2	
0-0-1-1-7-1-3-4	3	
0-0-1-1-7-1-3-8	3	
0-0-1-1-7-1-3-9	1	
0-0-1-1-7-1-5-7	1	
0-0-1-1-8-0-2-0	1	
0-0-1-1-8-1-0-6	1	
0-0-1-1-8-1-0-8	6	
0-0-1-1-8-1-0-9	9	
0-0-1-1-8-1-1-0	2	
0-0-1-1-8-1-1-6	1	
0-0-1-1-8-1-1-7	3	
0-0-1-1-8-1-1-8	62	
0-0-1-1-8-1-1-9	40	
0-0-1-1-8-1-2-0	3	
0-0-1-1-8-1-2-4	3	
0-0-1-1-8-1-2-6	1	
0-0-1-1-8-1-2-7	6	
0-0-1-1-8-1-2-8	65	
0-0-1-1-8-1-2-9	17	
0-0-1-1-8-1-3-3	5	
0-0-1-1-8-1-3-4	9	
0-0-1-1-8-1-3-7	1	
0-0-1-1-8-1-3-8	26	
0-0-1-1-8-1-3-9	1	
0-0-1-1-8-1-6-1	1	
0-0-1-1-8-1-7-9	2	
0-0-1-1-9-1-0-0	4	
0-0-1-1-9-1-0-8	10	
0-0-1-1-9-1-0-9	28	
0-0-1-1-9-1-1-0	1	
0-0-1-1-9-1-1-1	1	
0-0-1-1-9-1-1-5	1	
0-0-1-1-9-1-1-6	1	
0-0-1-1-9-1-1-7	10	
0-0-1-1-9-1-1-8	61	
0-0-1-1-9-1-1-9	52	
0-0-1-1-9-1-2-0	6	
0-0-1-1-9-1-2-3	2	
0-0-1-1-9-1-2-4	4	
0-0-1-1-9-1-2-5	1	
0-0-1-1-9-1-2-6	1	
0-0-1-1-9-1-2-7	3	
0-0-1-1-9-1-2-8	31	
0-0-1-1-9-1-2-9	10	
0-0-1-1-9-1-3-3	19	
0-0-1-1-9-1-3-4	18	
0-0-1-1-9-1-3-8	15	
0-0-1-1-9-1-3-9	12	
0-0-1-1-9-1-6-1	1	
0-0-1-1-9-1-6-5	1	
0-0-1-1-9-1-6-6	1	
0-0-1-1-9-1-7-4	1	
0-0-1-1-9-1-7-5	1	
0-0-1-1-9-1-7-8	1	
0-0-1-1-9-1-7-9	1	
0-0-1-1-9-1-8-0	1	
0-0-1-1-9-1-9-0	2	
0-0-1-1-9-1-9-9	1	
0-0-1-2-0-1-0-9	2	
0-0-1-2-0-1-1-8	1	
0-0-1-2-0-1-2-3	1	
0-0-1-2-0-1-2-5	1	
0-0-1-2-0-1-2-8	1	
0-0-1-2-0-1-2-9	2	
0-0-1-2-0-1-3-3	6	
0-0-1-2-0-1-3-4	1	
0-0-1-2-0-1-3-8	1	
0-0-1-2-0-1-6-6	1	
0-0-1-2-1-1-2-4	1	
0-0-1-2-1-1-3-3	1	
0-0-1-2-1-1-3-4	1	
0-0-1-2-2-1-2-0	1	
0-0-1-2-2-1-2-3	1	
0-0-1-2-2-1-2-9	1	
0-0-1-2-2-1-6-6	1	
0-0-1-2-3-1-0-9	1	
0-0-1-2-3-1-1-2	1	
0-0-1-2-3-1-1-4	1	
0-0-1-2-3-1-1-8	2	
0-0-1-2-3-1-1-9	1	
0-0-1-2-3-1-2-0	1	
0-0-1-2-3-1-2-4	1	
0-0-1-2-3-1-2-7	1	
0-0-1-2-3-1-2-8	1	
0-0-1-2-3-1-2-9	1	
0-0-1-2-3-1-3-3	1	
0-0-1-2-3-1-3-4	1	
0-0-1-2-4-1-0-8	1	
0-0-1-2-4-1-0-9	8	
0-0-1-2-4-1-1-0	1	
0-0-1-2-4-1-1-3	2	
0-0-1-2-4-1-1-4	11	
0-0-1-2-4-1-1-5	4	
0-0-1-2-4-1-1-7	1	
0-0-1-2-4-1-1-8	4	
0-0-1-2-4-1-1-9	6	
0-0-1-2-4-1-2-0	2	
0-0-1-2-4-1-2-3	1	
0-0-1-2-4-1-2-4	12	
0-0-1-2-4-1-2-5	2	
0-0-1-2-4-1-2-7	1	
0-0-1-2-4-1-2-8	8	
0-0-1-2-4-1-2-9	6	
0-0-1-2-4-1-3-3	6	
0-0-1-2-4-1-3-4	4	
0-0-1-2-4-1-3-8	5	
0-0-1-2-4-1-3-9	6	
0-0-1-2-4-1-4-3	1	
0-0-1-2-4-1-6-6	1	
0-0-1-2-4-1-7-0	1	
0-0-1-2-4-1-7-9	1	
0-0-1-2-4-1-8-9	1	
0-0-1-2-5-1-0-8	1	
0-0-1-2-5-1-0-9	5	
0-0-1-2-5-1-1-4	2	
0-0-1-2-5-1-1-5	7	
0-0-1-2-5-1-1-7	1	
0-0-1-2-5-1-1-8	1	
0-0-1-2-5-1-1-9	2	
0-0-1-2-5-1-2-2	1	
0-0-1-2-5-1-2-3	2	
0-0-1-2-5-1-2-4	6	
0-0-1-2-5-1-2-6	1	
0-0-1-2-5-1-2-8	11	
0-0-1-2-5-1-2-9	8	
0-0-1-2-5-1-3-3	4	
0-0-1-2-5-1-3-4	3	
0-0-1-2-5-1-3-8	8	
0-0-1-2-5-1-3-9	5	
0-0-1-2-5-1-6-6	1	
0-0-1-2-5-1-7-9	1	
0-0-1-2-5-1-8-0	2	
0-0-1-2-5-1-9-7	1	
0-0-1-2-6-1-1-8	2	
0-0-1-2-6-1-1-9	2	
0-0-1-2-6-1-3-9	1	
0-0-1-2-6-1-6-6	1	
0-0-1-2-7-1-0-9	2	
0-0-1-2-7-1-1-0	1	
0-0-1-2-7-1-1-5	2	
0-0-1-2-7-1-1-8	1	
0-0-1-2-7-1-2-4	2	
0-0-1-2-7-1-2-6	2	
0-0-1-2-7-1-2-8	4	
0-0-1-2-7-1-3-3	2	
0-0-1-2-7-1-3-4	1	
0-0-1-2-7-1-7-3	1	
0-0-1-2-7-1-8-4	1	
0-0-1-2-8-0-3-8	1	
0-0-1-2-8-1-0-0	2	
0-0-1-2-8-1-0-8	2	
0-0-1-2-8-1-1-3	1	
0-0-1-2-8-1-1-4	1	
0-0-1-2-8-1-1-5	1	
0-0-1-2-8-1-1-8	16	
0-0-1-2-8-1-1-9	10	
0-0-1-2-8-1-2-3	1	
0-0-1-2-8-1-2-4	8	
0-0-1-2-8-1-2-5	2	
0-0-1-2-8-1-2-6	1	
0-0-1-2-8-1-2-7	7	
0-0-1-2-8-1-2-8	19	
0-0-1-2-8-1-2-9	14	
0-0-1-2-8-1-3-3	9	
0-0-1-2-8-1-3-4	9	
0-0-1-2-8-1-3-8	13	
0-0-1-2-8-1-3-9	1	
0-0-1-2-8-1-6-6	1	
0-0-1-2-8-1-7-5	1	
0-0-1-2-8-1-8-0	1	
0-0-1-2-9-1-0-0	3	
0-0-1-2-9-1-0-8	1	
0-0-1-2-9-1-0-9	4	
0-0-1-2-9-1-1-1	1	
0-0-1-2-9-1-1-5	1	
0-0-1-2-9-1-1-8	4	
0-0-1-2-9-1-1-9	9	
0-0-1-2-9-1-2-0	1	
0-0-1-2-9-1-2-3	1	
0-0-1-2-9-1-2-4	3	
0-0-1-2-9-1-2-5	1	
0-0-1-2-9-1-2-8	8	
0-0-1-2-9-1-2-9	8	
0-0-1-2-9-1-3-3	27	
0-0-1-2-9-1-3-4	15	
0-0-1-2-9-1-3-8	10	
0-0-1-2-9-1-3-9	8	
0-0-1-2-9-1-6-6	1	
0-0-1-2-9-1-7-0	2	
0-0-1-3-0-1-3-4	1	
0-0-1-3-1-1-1-8	1	
0-0-1-3-2-1-1-5	1	
0-0-1-3-2-1-3-3	1	
0-0-1-3-3-1-0-0	1	
0-0-1-3-3-1-0-8	1	
0-0-1-3-3-1-0-9	1	
0-0-1-3-3-1-1-4	4	
0-0-1-3-3-1-1-5	6	
0-0-1-3-3-1-1-7	1	
0-0-1-3-3-1-1-8	1	
0-0-1-3-3-1-1-9	6	
0-0-1-3-3-1-2-3	3	
0-0-1-3-3-1-2-4	8	
0-0-1-3-3-1-2-5	5	
0-0-1-3-3-1-2-9	3	
0-0-1-3-3-1-3-3	53	
0-0-1-3-3-1-3-4	21	
0-0-1-3-3-1-3-5	1	
0-0-1-3-3-1-6-1	1	
0-0-1-3-3-1-9-9	1	
0-0-1-3-4-1-0-9	7	
0-0-1-3-4-1-1-4	19	
0-0-1-3-4-1-1-5	38	
0-0-1-3-4-1-1-6	2	
0-0-1-3-4-1-1-7	1	
0-0-1-3-4-1-1-9	2	
0-0-1-3-4-1-2-3	18	
0-0-1-3-4-1-2-4	110	
0-0-1-3-4-1-2-5	23	
0-0-1-3-4-1-2-6	1	
0-0-1-3-4-1-2-7	1	
0-0-1-3-4-1-2-8	6	
0-0-1-3-4-1-3-3	24	
0-0-1-3-4-1-3-4	35	
0-0-1-3-4-1-3-5	1	
0-0-1-3-4-1-3-8	2	
0-0-1-3-4-1-3-9	1	
0-0-1-3-4-1-6-1	1	
0-0-1-3-4-1-6-6	1	
0-0-1-3-4-1-7-5	1	
0-0-1-3-6-1-0-5	1	
0-0-1-3-7-1-0-8	1	
0-0-1-3-7-1-6-5	2	
0-0-1-3-7-1-6-6	2	
0-0-1-3-8-0-2-8	1	
0-0-1-3-8-1-0-9	10	
0-0-1-3-8-1-1-5	1	
0-0-1-3-8-1-1-7	2	
0-0-1-3-8-1-1-8	10	
0-0-1-3-8-1-1-9	7	
0-0-1-3-8-1-2-0	1	
0-0-1-3-8-1-2-2	1	
0-0-1-3-8-1-2-3	4	
0-0-1-3-8-1-2-4	3	
0-0-1-3-8-1-2-5	2	
0-0-1-3-8-1-2-7	2	
0-0-1-3-8-1-2-8	6	
0-0-1-3-8-1-2-9	4	
0-0-1-3-8-1-3-3	8	
0-0-1-3-8-1-3-4	5	
0-0-1-3-8-1-3-8	8	
0-0-1-3-8-1-3-9	3	
0-0-1-3-8-1-4-3	1	
0-0-1-3-8-1-6-1	1	
0-0-1-3-8-1-6-5	12	
0-0-1-3-8-1-6-6	2	
0-0-1-3-8-1-7-0	2	
0-0-1-3-8-1-7-4	12	
0-0-1-3-8-1-7-5	8	
0-0-1-3-8-1-9-3	2	
0-0-1-3-9-0-2-4	1	
0-0-1-3-9-1-0-7	1	
0-0-1-3-9-1-1-4	1	
0-0-1-3-9-1-1-6	1	
0-0-1-3-9-1-1-7	1	
0-0-1-3-9-1-1-8	3	
0-0-1-3-9-1-1-9	1	
0-0-1-3-9-1-2-0	1	
0-0-1-3-9-1-2-3	2	
0-0-1-3-9-1-2-7	1	
0-0-1-3-9-1-2-8	4	
0-0-1-3-9-1-2-9	5	
0-0-1-3-9-1-3-3	9	
0-0-1-3-9-1-3-4	9	
0-0-1-3-9-1-3-8	11	
0-0-1-3-9-1-3-9	5	
0-0-1-3-9-1-6-6	1	
0-0-1-3-9-1-7-5	1	
0-0-1-3-9-1-8-0	1	
0-0-1-3-9-1-9-0	1	
0-0-1-4-2-1-1-5	1	
0-0-1-4-3-1-2-5	1	
0-0-1-4-7-1-2-3	1	
0-0-1-4-8-1-7-4	1	
0-0-1-5-1-1-2-7	1	
0-0-1-5-8-1-6-3	1	
0-0-1-6-0-1-1-6	1	
0-0-1-6-0-1-1-9	1	
0-0-1-6-0-1-2-4	2	
0-0-1-6-0-1-3-3	1	
0-0-1-6-0-1-3-4	2	
0-0-1-6-1-1-2-4	3	
0-0-1-6-1-1-3-3	1	
0-0-1-6-1-1-3-4	4	
0-0-1-6-1-1-6-6	1	
0-0-1-6-2-1-0-5	1	
0-0-1-6-2-1-2-5	1	
0-0-1-6-3-1-1-8	1	
0-0-1-6-3-1-2-5	1	
0-0-1-6-3-1-3-3	2	
0-0-1-6-5-1-0-9	1	
0-0-1-6-5-1-2-8	4	
0-0-1-6-5-1-3-4	1	
0-0-1-6-5-1-3-8	2	
0-0-1-6-5-1-6-5	1	
0-0-1-6-5-1-6-6	1	
0-0-1-6-5-1-7-4	2	
0-0-1-6-6-1-0-7	1	
0-0-1-6-6-1-1-6	1	
0-0-1-6-6-1-1-8	1	
0-0-1-6-6-1-2-4	1	
0-0-1-6-6-1-2-7	1	
0-0-1-6-6-1-2-8	6	
0-0-1-6-6-1-2-9	5	
0-0-1-6-6-1-3-3	4	
0-0-1-6-6-1-3-4	3	
0-0-1-6-6-1-3-8	6	
0-0-1-6-6-1-3-9	2	
0-0-1-6-6-1-6-5	1	
0-0-1-6-6-1-7-4	1	
0-0-1-6-6-1-7-5	1	
0-0-1-6-7-1-2-4	1	
0-0-1-6-8-1-2-8	1	
0-0-1-7-0-1-0-8	1	
