#forbidden_phi_psi: Mon Sep 14 18:17:59 2009
#
-171	81	0	46.1	-180	72	0	14	280	
-153	81	0	312.1	-162	72	1	14	281	
-135	81	0	986.1	-144	72	2	14	282	
-117	81	0	699.1	-126	72	3	14	283	
-99	81	0	634.1	-108	72	4	14	284	
-81	81	0	1297.1	-90	72	5	14	285	
-63	81	0	24.1	-72	72	6	14	286	
-45	81	1	1.1	-54	72	7	14	287	
-27	81	1	0.1	-36	72	8	14	288	
-9	81	1	2.1	-18	72	9	14	289	
9	81	1	4.1	0	72	10	14	290	
27	81	1	9.1	18	72	11	14	291	
45	81	0	26.1	36	72	12	14	292	
63	81	0	60.1	54	72	13	14	293	
81	81	1	17.1	72	72	14	14	294	
99	81	1	18.1	90	72	15	14	295	
117	81	1	4.1	108	72	16	14	296	
135	81	1	3.1	126	72	17	14	297	
153	81	1	1.1	144	72	18	14	298	
171	81	1	2.1	162	72	19	14	299	
-171	99	0	70.1	-180	90	0	15	300	
-153	99	0	466.1	-162	90	1	15	301	
-135	99	0	1398.1	-144	90	2	15	302	
-117	99	0	2714.1	-126	90	3	15	303	
-99	99	0	2940.1	-108	90	4	15	304	
-81	99	0	1916.1	-90	90	5	15	305	
-63	99	0	95.1	-72	90	6	15	306	
-45	99	1	5.1	-54	90	7	15	307	
-27	99	1	2.1	-36	90	8	15	308	
-9	99	1	9.1	-18	90	9	15	309	
9	99	1	2.1	0	90	10	15	310	
27	99	1	1.1	18	90	11	15	311	
45	99	1	1.1	36	90	12	15	312	
63	99	1	12.1	54	90	13	15	313	
81	99	1	15.1	72	90	14	15	314	
99	99	1	19.1	90	90	15	15	315	
117	99	1	20.1	108	90	16	15	316	
135	99	1	10.1	126	90	17	15	317	
153	99	1	8.1	144	90	18	15	318	
171	99	1	1.1	162	90	19	15	319	
-171	117	0	120.1	-180	108	0	16	320	
-153	117	0	1150.1	-162	108	1	16	321	
-135	117	0	5554.1	-144	108	2	16	322	
-117	117	0	11965.1	-126	108	3	16	323	
-99	117	0	10411.1	-108	108	4	16	324	
-81	117	0	6589.1	-90	108	5	16	325	
-63	117	0	2602.1	-72	108	6	16	326	
-45	117	0	588.1	-54	108	7	16	327	
-27	117	0	34.1	-36	108	8	16	328	
